 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,230.189,134.910,0,1.781,1.276,2.085,3.785,7.514,0.176
2,1,1,229.489,135.313,0,1.186,1.143,1.683,2.714,4.739,0.152
3,2,0,306.958,216.902,0,1.529,1.372,2.394,4.644,9.794,0.114
4,2,1,306.661,216.863,0,1.700,1.261,2.028,3.600,6.943,0.302
5,3,0,234.762,270.661,0,1.782,1.248,1.967,3.388,6.273,0.173
6,3,1,235.427,270.463,0,2.313,1.370,2.312,4.259,8.398,0.143
7,3,2,235.164,271.502,0,1.947,1.328,2.205,4.052,8.105,0.287
8,3,3,235.538,270.329,0,2.015,1.337,2.250,4.173,8.371,0.311
9,3,4,235.163,270.880,0,1.637,1.333,2.258,4.242,8.661,0.268
10,4,1,265.804,240.694,0,1.936,1.408,2.502,4.939,10.602,0.143
11,4,2,265.585,241.171,0,2.172,1.355,2.312,4.381,9.038,0.158
12,4,3,265.344,241.509,0,1.855,1.374,2.387,4.604,9.667,0.231
13,4,4,265.470,241.331,0,1.908,1.441,2.598,5.188,11.203,0.087
14,4,5,265.874,240.887,0,2.445,1.401,2.433,4.649,9.562,0.167
15,5,2,216.462,157.792,0,1.951,1.341,2.232,4.072,7.985,0.289
16,5,3,216.179,157.195,0,1.937,1.304,2.150,3.916,7.734,0.298
17,6,3,186.486,150.381,0,1.509,1.339,2.303,4.442,9.404,0.252
18,6,4,186.424,149.560,0,1.598,1.413,2.529,5.062,11.076,0.247
19,7,4,212.517,132.065,0,1.544,1.368,2.391,4.642,9.798,0.255
20,7,5,212.751,132.064,0,1.642,1.474,2.743,5.685,12.785,0.186
21,8,4,299.830,281.430,0,1.919,1.250,1.976,3.446,6.528,0.084
22,8,5,300.210,281.532,0,1.609,1.419,2.524,4.947,10.441,0.310
23,8,6,300.103,281.629,0,1.683,1.333,2.226,4.123,8.323,0.173
24,8,7,300.389,280.986,0,1.510,1.425,2.635,5.470,12.416,0.188
25,9,5,216.581,156.982,0,1.552,1.400,2.476,4.861,10.370,0.297
26,9,6,216.593,157.206,0,1.983,1.351,2.272,4.192,8.312,0.314
27,9,7,215.913,156.864,0,1.898,1.394,2.475,4.896,10.548,0.193
28,9,8,215.023,156.546,0,2.070,1.326,2.225,4.132,8.333,0.143
29,9,9,215.300,156.734,0,1.858,1.378,2.386,4.566,9.453,0.269
30,9,10,215.438,156.499,0,1.725,1.461,2.657,5.329,11.533,0.239
31,9,11,216.500,157.686,0,1.700,1.413,2.485,4.808,10.026,0.213
32,10,6,186.420,149.751,0,1.964,1.357,2.310,4.358,8.942,0.299
33,10,7,186.874,149.396,0,2.006,1.347,2.279,4.276,8.738,0.129
34,11,7,166.522,172.009,0,1.570,1.439,2.610,5.244,11.397,0.186
35,11,8,165.540,171.923,0,1.650,1.427,2.549,5.036,10.760,0.268
36,12,7,306.199,216.893,0,1.393,1.226,1.906,3.281,6.186,0.173
37,12,8,306.031,216.765,0,1.477,1.263,2.054,3.687,7.172,0.147
38,12,9,305.788,216.377,0,1.575,1.215,1.901,3.297,6.253,0.167
