 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,277.920,45.145,0,1.918,1.385,2.412,4.669,9.838,0.027
2,1,1,277.675,45.666,0,1.348,1.291,2.103,3.785,7.398,0.035
3,1,2,279.195,45.746,0,2.481,1.424,2.507,4.852,10.103,0.026
4,1,3,279.394,44.991,0,1.825,1.373,2.374,4.536,9.370,0.067
5,1,4,279.883,45.479,0,2.232,1.345,2.254,4.143,8.189,0.042
6,1,5,280.147,45.113,0,2.109,1.452,2.624,5.239,11.298,0.032
7,1,6,279.965,44.973,0,2.013,1.469,2.713,5.575,12.420,0.024
8,1,7,279.800,45.238,0,2.035,1.354,2.319,4.424,9.220,0.045
9,1,8,279.563,45.175,0,1.735,1.341,2.250,4.144,8.210,0.034
10,1,9,278.844,46.206,0,2.228,1.413,2.495,4.864,10.247,0.024
11,1,10,277.906,46.351,0,1.839,1.291,2.128,3.902,7.831,0.045
12,1,11,278.576,46.489,0,2.539,1.321,2.173,3.900,7.484,0.018
13,1,12,278.707,46.429,0,1.577,1.289,2.106,3.818,7.556,0.040
14,1,13,278.750,45.902,0,2.158,1.357,2.334,4.504,9.553,0.023
15,1,14,279.499,45.302,0,2.234,1.360,2.318,4.357,8.860,0.030
16,1,15,280.453,45.356,0,2.294,1.312,2.143,3.825,7.310,0.019
17,1,16,279.299,45.506,0,2.117,1.379,2.370,4.476,9.115,0.030
18,1,17,280.232,45.430,0,2.340,1.375,2.364,4.488,9.228,0.013
19,1,18,280.916,45.474,0,2.891,1.327,2.207,4.048,8.049,0.013
20,1,19,280.947,45.501,0,2.179,1.305,2.153,3.948,7.915,0.055
21,1,20,281.184,45.420,0,2.612,1.305,2.142,3.851,7.442,0.014
22,1,21,281.015,45.497,0,2.861,1.437,2.580,5.130,11.040,0.013
23,1,22,281.369,45.864,0,2.153,1.426,2.540,5.001,10.649,0.011
24,1,23,280.969,45.722,0,2.249,1.418,2.550,5.109,11.130,0.024
25,1,24,280.668,45.661,0,2.988,1.350,2.264,4.165,8.249,0.022
26,1,25,280.536,45.630,0,2.958,1.321,2.180,3.955,7.751,0.013
27,1,26,280.874,45.671,0,1.962,1.423,2.533,4.990,10.641,0.036
28,1,27,281.136,45.334,0,2.429,1.327,2.203,4.025,7.944,0.013
29,1,28,281.364,45.510,0,1.817,1.394,2.422,4.659,9.720,0.030
30,1,29,281.174,45.610,0,1.938,1.403,2.484,4.888,10.454,0.027
31,1,30,281.188,45.804,0,2.254,1.362,2.325,4.390,8.986,0.015
32,1,31,281.261,45.573,0,1.960,1.336,2.239,4.154,8.387,0.039
33,1,32,281.713,45.811,0,1.835,1.380,2.414,4.701,9.977,0.054
34,1,33,281.057,45.587,0,1.894,1.364,2.345,4.478,9.321,0.070
35,1,34,281.211,45.725,0,2.415,1.360,2.328,4.383,8.894,0.019
36,1,35,280.623,45.735,0,1.808,1.409,2.467,4.752,9.861,0.046
37,1,36,281.226,45.711,0,1.974,1.384,2.361,4.403,8.791,0.038
38,1,37,281.470,45.823,0,1.929,1.334,2.216,4.036,7.913,0.023
39,1,38,281.777,45.764,0,2.243,1.415,2.501,4.869,10.214,0.020
40,1,39,281.559,45.924,0,2.357,1.303,2.140,3.871,7.568,0.013
41,1,40,281.837,45.396,0,1.969,1.361,2.334,4.447,9.228,0.033
42,1,41,281.983,45.274,0,2.101,1.421,2.526,4.967,10.554,0.030
43,1,42,281.334,45.297,0,2.145,1.270,2.039,3.594,6.839,0.015
44,1,43,281.122,45.422,0,2.859,1.312,2.157,3.896,7.597,0.023
45,1,44,281.382,45.580,0,2.043,1.362,2.341,4.459,9.231,0.027
46,1,45,280.309,45.522,0,2.408,1.378,2.346,4.382,8.800,0.021
47,1,46,279.372,46.293,0,1.672,1.424,2.545,5.038,10.804,0.046
48,1,47,278.839,46.285,0,2.296,1.400,2.480,4.904,10.596,0.023
49,1,48,278.522,46.210,0,2.658,1.336,2.258,4.217,8.545,0.025
50,1,49,278.716,46.543,0,2.349,1.327,2.207,4.033,7.940,0.013
51,1,50,278.552,45.779,0,2.498,1.348,2.266,4.196,8.397,0.036
52,1,51,278.943,45.792,0,2.273,1.445,2.575,5.036,10.581,0.014
53,1,52,279.401,46.415,0,2.275,1.379,2.356,4.413,8.872,0.022
54,1,53,279.533,45.358,0,2.181,1.420,2.486,4.781,9.889,0.028
55,1,54,280.118,45.563,0,2.302,1.331,2.224,4.093,8.141,0.026
56,1,55,280.429,45.479,0,2.519,1.404,2.462,4.761,9.950,0.016
