 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
2466,321,47,272.476,243.920,0,1.931,1.398,2.427,4.629,9.500,0.068
2467,321,48,273.158,243.812,0,1.655,1.402,2.465,4.790,10.060,0.072
2468,321,49,271.894,243.361,0,1.406,1.367,2.331,4.393,8.968,0.060
2469,321,50,272.028,243.175,0,1.581,1.391,2.461,4.881,10.615,0.073
2470,321,51,271.528,242.717,0,1.536,1.418,2.563,5.159,11.295,0.054
2471,321,52,271.414,241.607,0,1.283,1.415,2.540,5.100,11.185,0.089
2472,321,53,271.204,242.318,0,1.122,1.223,1.926,3.364,6.432,0.043
2473,321,54,271.328,242.277,0,1.836,1.354,2.301,4.302,8.661,0.081
2474,321,55,271.599,242.859,0,1.482,1.424,2.535,4.996,10.673,0.070
2475,321,56,271.223,241.566,0,1.190,1.315,2.192,4.098,8.460,0.084
2476,322,37,47.210,272.513,0,1.045,1.355,2.322,4.402,9.053,0.065
2477,322,38,45.922,272.949,0,1.238,1.485,2.810,5.933,13.612,0.076
2478,323,37,307.566,286.420,0,1.419,1.420,2.507,4.890,10.322,0.068
2479,323,38,307.489,286.806,0,1.102,1.276,2.104,3.897,7.977,0.080
2480,324,37,264.062,288.690,0,1.377,1.280,2.092,3.764,7.310,0.055
2481,324,38,263.659,288.635,0,1.881,1.216,1.889,3.236,6.036,0.028
2482,324,39,263.181,288.629,0,1.309,1.371,2.390,4.647,9.859,0.084
2483,325,37,420.645,335.848,0,1.249,1.349,2.307,4.415,9.269,0.102
2484,325,38,420.953,335.026,0,0.986,1.406,2.590,5.401,12.388,0.041
2485,326,37,288.764,340.958,0,1.134,1.434,2.633,5.410,12.132,0.076
2486,326,38,289.467,340.276,0,1.375,1.409,2.483,4.848,10.252,0.111
2487,326,39,289.027,340.898,0,1.805,1.490,2.785,5.783,13.011,0.027
2488,326,40,287.340,342.125,0,1.502,1.512,2.862,6.008,13.645,0.046
2489,326,41,287.504,342.060,0,1.352,1.561,3.048,6.542,15.045,0.040
2490,326,42,287.752,341.051,0,1.459,1.507,2.830,5.872,13.157,0.065
2491,326,43,288.361,340.473,0,1.084,1.435,2.594,5.199,11.284,0.123
2492,327,37,272.766,420.049,0,0.990,1.325,2.271,4.360,9.187,0.066
2493,327,38,272.319,421.737,0,1.304,1.429,2.523,4.894,10.198,0.128
2494,327,39,272.574,420.859,0,1.109,1.237,1.937,3.365,6.396,0.071
2495,328,38,213.665,118.601,0,1.543,1.436,2.571,5.087,10.887,0.054
2496,328,39,213.211,118.136,0,1.399,1.399,2.481,4.906,10.589,0.073
2497,328,40,213.467,118.680,0,1.461,1.201,1.838,3.115,5.794,0.020
2498,328,41,213.505,118.614,0,1.843,1.289,2.102,3.780,7.367,0.021
2499,328,42,213.567,118.924,0,1.420,1.325,2.249,4.252,8.787,0.051
2500,328,43,212.918,118.371,0,1.146,1.427,2.567,5.160,11.329,0.130
