 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,52.899,111.693,0,1.835,1.353,2.302,4.338,8.874,0.026
2,1,1,52.872,111.585,0,1.565,1.383,2.438,4.837,10.574,0.048
3,1,2,52.378,111.597,0,1.312,1.280,2.078,3.743,7.360,0.070
4,1,3,52.196,111.577,0,1.184,1.306,2.214,4.246,9.040,0.095
5,1,4,52.099,111.540,0,1.984,1.360,2.316,4.349,8.824,0.022
6,1,5,52.716,110.916,0,1.837,1.384,2.386,4.507,9.128,0.021
7,1,6,53.252,111.622,0,1.516,1.200,1.833,3.073,5.586,0.012
8,1,7,53.233,111.227,0,1.359,1.299,2.155,3.999,8.154,0.056
9,1,8,53.531,111.375,0,1.278,1.357,2.397,4.808,10.697,0.086
10,1,9,52.796,111.183,0,1.505,1.537,2.969,6.396,14.963,0.036
11,1,10,53.504,110.913,0,2.108,1.325,2.194,3.985,7.781,0.019
12,1,11,53.376,111.293,0,1.077,1.260,2.036,3.675,7.306,0.063
13,1,12,53.569,111.645,0,1.338,1.331,2.230,4.128,8.285,0.061
14,2,0,126.924,111.111,0,1.293,1.408,2.511,5.015,10.969,0.109
15,2,1,127.897,111.305,0,1.318,1.449,2.644,5.373,11.866,0.109
16,2,2,128.053,111.346,0,1.192,1.352,2.349,4.585,9.812,0.091
17,3,0,236.444,116.540,0,1.769,1.335,2.249,4.200,8.546,0.019
18,3,1,236.562,116.837,0,1.988,1.436,2.574,5.126,11.089,0.030
19,3,2,235.533,116.395,0,1.505,1.301,2.173,4.070,8.407,0.055
20,3,3,234.929,115.140,0,1.317,1.300,2.167,4.016,8.124,0.075
21,3,4,235.512,115.847,0,1.888,1.349,2.282,4.260,8.602,0.024
22,3,5,235.520,115.980,0,1.914,1.378,2.386,4.546,9.320,0.023
23,3,6,235.224,116.383,0,2.218,1.335,2.232,4.113,8.198,0.012
24,3,7,234.957,116.035,0,2.463,1.415,2.516,4.972,10.675,0.012
25,3,8,234.713,115.461,0,2.155,1.288,2.102,3.812,7.556,0.010
26,3,9,234.586,115.373,0,2.104,1.351,2.292,4.284,8.645,0.015
