 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,414.652,166.323,0,1.523,1.335,2.281,4.344,9.052,0.156
2,1,1,414.720,166.055,0,1.330,1.346,2.312,4.450,9.414,0.070
3,1,2,415.426,165.714,0,1.098,1.352,2.334,4.489,9.423,0.091
4,1,3,414.803,166.121,0,1.205,1.445,2.657,5.451,12.156,0.061
5,2,0,366.890,175.241,0,2.346,1.433,2.575,5.142,11.162,0.034
6,2,1,366.624,176.185,0,2.007,1.380,2.414,4.704,9.994,0.042
7,2,2,367.225,175.518,0,1.936,1.320,2.179,3.954,7.747,0.028
8,2,3,367.526,175.257,0,1.881,1.311,2.140,3.817,7.305,0.072
9,2,4,367.661,175.493,0,1.630,1.338,2.251,4.210,8.601,0.110
10,2,5,367.166,175.527,0,1.717,1.483,2.723,5.529,12.129,0.038
11,2,6,366.899,175.588,0,1.732,1.242,1.944,3.332,6.147,0.023
12,2,7,367.089,176.201,0,1.775,1.394,2.509,5.052,11.099,0.113
13,2,8,367.498,175.160,0,1.587,1.279,2.081,3.751,7.358,0.105
14,2,9,367.813,174.701,0,1.572,1.410,2.482,4.835,10.201,0.105
15,2,10,367.146,175.282,0,1.691,1.390,2.456,4.829,10.336,0.104
16,2,11,366.999,175.495,0,1.684,1.283,2.116,3.920,8.035,0.075
17,2,12,367.569,175.606,0,1.628,1.253,1.968,3.383,6.266,0.027
18,2,13,366.620,176.233,0,1.823,1.427,2.556,5.074,10.912,0.069
19,2,14,367.229,175.341,0,1.617,1.404,2.435,4.635,9.477,0.108
20,2,15,367.514,175.468,0,1.426,1.409,2.522,5.062,11.130,0.145
21,2,16,366.956,176.149,0,1.815,1.426,2.548,5.024,10.674,0.083
22,2,17,367.378,175.712,0,1.814,1.417,2.542,5.105,11.215,0.045
23,2,18,367.664,174.330,0,1.850,1.454,2.640,5.305,11.533,0.069
24,2,19,368.677,173.556,0,1.657,1.303,2.149,3.934,7.867,0.053
25,2,20,368.132,174.552,0,1.688,1.334,2.234,4.127,8.236,0.056
26,2,21,367.669,174.204,0,2.433,1.330,2.223,4.094,8.153,0.031
27,2,22,367.641,173.656,0,2.204,1.335,2.226,4.066,7.986,0.021
28,2,23,367.277,174.336,0,1.984,1.273,2.048,3.627,6.943,0.032
29,2,24,366.190,174.638,0,1.419,1.276,2.082,3.779,7.504,0.047
30,2,25,366.284,174.970,0,1.736,1.478,2.736,5.633,12.593,0.038
31,2,26,366.264,175.826,0,2.514,1.398,2.445,4.739,9.971,0.021
32,2,27,366.031,175.465,0,1.761,1.387,2.417,4.674,9.825,0.096
33,2,28,366.169,175.989,0,2.085,1.384,2.417,4.697,9.946,0.048
34,2,29,366.548,175.862,0,1.506,1.382,2.395,4.608,9.644,0.092
