 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,113.282,21.835,0,1.847,1.308,2.145,3.858,7.472,0.126
2,1,1,113.332,22.129,0,1.566,1.327,2.248,4.248,8.777,0.069
3,2,0,138.375,57.444,0,3.568,1.355,2.298,4.294,8.679,0.034
4,2,1,138.101,57.313,0,3.119,1.398,2.429,4.649,9.596,0.079
5,2,2,138.289,57.403,0,3.057,1.365,2.299,4.226,8.298,0.060
6,2,3,138.622,57.275,0,2.501,1.344,2.298,4.365,9.014,0.077
7,2,4,138.619,57.068,0,2.472,1.280,2.079,3.735,7.303,0.086
8,2,5,138.762,57.476,0,2.934,1.286,2.074,3.678,7.049,0.037
9,2,6,138.610,57.358,0,3.064,1.374,2.384,4.599,9.673,0.037
10,2,7,138.724,57.092,0,2.663,1.370,2.341,4.406,8.944,0.089
11,2,8,138.901,57.496,0,2.399,1.336,2.235,4.109,8.134,0.049
12,2,9,139.065,56.957,0,2.724,1.426,2.557,5.087,10.970,0.064
13,2,10,139.294,57.177,0,1.854,1.408,2.482,4.865,10.377,0.084
14,2,11,139.573,57.711,0,2.245,1.451,2.631,5.304,11.610,0.048
15,3,0,111.744,65.860,0,1.897,1.305,2.144,3.883,7.600,0.113
16,3,1,112.275,66.372,0,1.465,1.216,1.867,3.138,5.685,0.089
17,3,2,112.092,66.034,0,1.730,1.352,2.342,4.530,9.580,0.175
18,3,3,112.066,65.977,0,1.694,1.460,2.700,5.553,12.390,0.118
19,4,0,69.390,96.790,0,2.060,1.389,2.398,4.550,9.305,0.064
20,4,1,69.121,96.358,0,1.884,1.342,2.267,4.220,8.495,0.127
21,4,2,69.290,96.538,0,2.002,1.287,2.067,3.626,6.810,0.097
22,4,3,69.300,96.407,0,2.303,1.357,2.308,4.320,8.729,0.071
23,4,4,69.582,96.468,0,2.418,1.323,2.183,3.934,7.596,0.120
24,4,5,70.547,97.078,0,1.754,1.383,2.422,4.701,9.897,0.166
25,5,0,223.323,103.109,0,1.589,1.289,2.113,3.843,7.628,0.114
26,5,1,223.455,103.830,0,2.519,1.388,2.403,4.587,9.444,0.102
27,5,2,224.026,103.877,0,1.651,1.396,2.466,4.851,10.395,0.120
28,6,0,10.810,115.436,0,2.164,1.368,2.360,4.518,9.408,0.061
29,6,1,11.064,115.405,0,1.792,1.385,2.440,4.792,10.253,0.144
30,7,0,271.296,193.464,0,2.106,1.301,2.121,3.789,7.276,0.044
31,7,1,270.990,194.388,0,1.827,1.467,2.703,5.512,12.141,0.087
32,7,2,271.435,194.495,0,2.140,1.321,2.201,4.052,8.097,0.060
33,7,3,271.431,194.240,0,1.769,1.300,2.115,3.770,7.227,0.093
34,7,4,271.382,194.316,0,2.181,1.326,2.208,4.051,8.031,0.106
35,7,5,271.771,193.487,0,2.608,1.357,2.300,4.294,8.658,0.042
36,7,6,271.689,193.683,0,2.224,1.399,2.436,4.683,9.755,0.096
37,7,7,271.996,193.198,0,2.204,1.470,2.688,5.410,11.709,0.042
38,7,8,272.534,192.511,0,1.854,1.498,2.799,5.796,12.976,0.041
39,7,9,272.748,192.907,0,1.740,1.362,2.343,4.489,9.387,0.192
40,7,10,272.763,192.866,0,2.538,1.430,2.568,5.119,11.066,0.046
41,7,11,272.384,193.358,0,1.833,1.450,2.633,5.308,11.619,0.073
42,7,12,272.194,192.929,0,1.936,1.528,2.904,6.126,13.976,0.034
43,7,13,272.949,192.373,0,1.999,1.330,2.216,4.064,8.039,0.093
44,7,14,273.269,191.393,0,2.081,1.449,2.631,5.318,11.698,0.076
45,7,15,273.433,190.826,0,1.923,1.425,2.518,4.909,10.335,0.182
46,7,16,272.543,191.222,0,2.747,1.350,2.273,4.205,8.393,0.031
47,7,17,272.424,192.623,0,2.558,1.407,2.479,4.846,10.280,0.034
48,7,18,272.829,192.461,0,2.422,1.482,2.739,5.617,12.483,0.041
49,7,19,272.765,192.917,0,2.527,1.334,2.250,4.206,8.549,0.044
50,7,20,272.668,192.812,0,2.782,1.347,2.266,4.186,8.322,0.066
51,7,21,272.617,193.108,0,2.633,1.364,2.337,4.421,9.045,0.072
52,7,22,272.780,192.671,0,2.340,1.316,2.183,4.004,7.971,0.093
53,7,23,272.795,193.039,0,2.991,1.378,2.387,4.571,9.476,0.040
54,7,24,272.862,193.411,0,2.606,1.345,2.269,4.223,8.505,0.058
55,7,25,272.521,193.731,0,2.725,1.354,2.280,4.208,8.350,0.035
56,7,26,271.990,192.901,0,2.122,1.429,2.561,5.089,10.952,0.113
57,7,27,272.317,193.338,0,2.815,1.354,2.282,4.200,8.278,0.040
58,7,28,271.607,194.250,0,2.935,1.353,2.285,4.235,8.448,0.037
59,7,29,271.331,194.258,0,2.767,1.443,2.601,5.197,11.259,0.061
60,7,30,271.447,194.499,0,2.408,1.354,2.296,4.283,8.613,0.035
61,7,31,271.396,194.659,0,1.912,1.311,2.189,4.082,8.348,0.131
62,7,32,271.442,194.704,0,2.742,1.305,2.138,3.838,7.405,0.039
63,7,33,271.498,194.366,0,2.843,1.271,2.030,3.548,6.666,0.069
64,7,34,271.291,194.193,0,2.879,1.411,2.472,4.773,9.946,0.026
