 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,443.086,39.950,0,1.575,1.647,3.375,7.651,18.627,0.040
2,1,1,443.594,39.297,0,1.608,1.609,3.212,7.077,16.768,0.048
3,2,0,307.833,41.174,0,1.043,1.311,2.224,4.245,8.931,0.100
4,2,1,308.344,42.559,0,1.539,1.332,2.214,4.044,7.960,0.081
5,2,2,308.262,42.595,0,1.477,1.457,2.641,5.286,11.410,0.060
6,2,3,308.229,42.609,0,1.949,1.502,2.783,5.654,12.306,0.036
7,2,4,308.398,42.619,0,2.345,1.359,2.325,4.410,9.092,0.050
8,2,5,308.094,42.779,0,1.994,1.448,2.640,5.354,11.795,0.058
9,2,6,308.203,43.645,0,1.941,1.403,2.448,4.690,9.656,0.094
10,2,7,308.251,43.208,0,1.735,1.305,2.176,4.020,8.078,0.073
11,2,8,307.878,43.180,0,1.817,1.478,2.712,5.489,11.968,0.062
12,2,9,307.879,43.471,0,1.513,1.483,2.745,5.633,12.513,0.061
13,2,10,307.814,42.927,0,1.812,1.351,2.313,4.389,9.045,0.101
14,2,11,308.248,43.044,0,1.475,1.376,2.406,4.645,9.697,0.087
15,2,12,308.358,42.627,0,1.688,1.449,2.590,5.076,10.674,0.053
16,2,13,308.233,42.861,0,1.418,1.448,2.681,5.531,12.402,0.080
17,2,14,308.308,43.355,0,1.519,1.332,2.247,4.186,8.440,0.096
18,2,15,307.642,44.103,0,1.634,1.277,2.092,3.814,7.610,0.042
19,2,16,308.077,43.292,0,2.048,1.433,2.588,5.170,11.155,0.057
20,2,17,307.762,43.673,0,1.813,1.368,2.369,4.587,9.728,0.119
21,2,18,308.248,44.622,0,1.437,1.396,2.454,4.804,10.240,0.157
22,2,19,308.308,44.319,0,1.597,1.350,2.346,4.564,9.726,0.084
23,2,20,308.675,44.379,0,2.518,1.320,2.185,3.974,7.789,0.037
24,2,21,308.310,44.254,0,2.197,1.281,2.072,3.687,7.095,0.058
25,2,22,307.807,44.524,0,1.880,1.391,2.437,4.744,10.056,0.053
26,2,23,308.381,44.427,0,1.990,1.469,2.689,5.434,11.845,0.092
27,2,24,308.146,44.517,0,2.098,1.394,2.438,4.706,9.813,0.083
28,2,25,308.331,44.179,0,1.600,1.448,2.664,5.463,12.177,0.122
29,2,26,308.112,45.117,0,1.872,1.507,2.815,5.774,12.693,0.032
30,2,27,308.181,44.712,0,1.913,1.366,2.313,4.278,8.461,0.069
31,2,28,308.247,44.913,0,2.327,1.329,2.246,4.216,8.620,0.066
32,2,29,307.794,44.474,0,1.266,1.407,2.505,4.980,10.821,0.074
33,2,30,307.672,44.430,0,1.431,1.240,1.975,3.487,6.718,0.079
34,2,31,308.177,44.965,0,1.331,1.319,2.210,4.136,8.473,0.054
35,2,32,307.729,43.904,0,1.478,1.403,2.488,4.913,10.562,0.105
36,2,33,307.953,43.802,0,1.540,1.410,2.543,5.123,11.254,0.064
37,2,34,307.815,43.719,0,2.091,1.323,2.182,3.957,7.740,0.038
38,2,35,307.979,44.060,0,1.888,1.446,2.610,5.187,11.075,0.066
39,2,36,307.717,43.528,0,1.475,1.291,2.127,3.928,8.002,0.057
40,2,37,307.734,44.021,0,1.645,1.403,2.463,4.772,9.994,0.097
41,2,38,308.070,43.856,0,1.596,1.485,2.764,5.694,12.673,0.058
42,2,39,308.027,44.418,0,1.158,1.331,2.290,4.418,9.337,0.158
43,2,40,307.755,44.306,0,2.050,1.377,2.364,4.472,9.125,0.082
44,2,41,308.091,44.102,0,2.286,1.433,2.589,5.178,11.190,0.045
45,2,42,307.785,44.116,0,2.742,1.299,2.142,3.931,7.894,0.038
46,2,43,308.132,44.618,0,2.290,1.411,2.466,4.722,9.698,0.069
47,2,44,308.138,45.333,0,2.512,1.349,2.280,4.235,8.481,0.097
48,2,45,308.144,45.297,0,2.260,1.387,2.403,4.588,9.460,0.096
49,2,46,308.074,44.615,0,1.765,1.339,2.236,4.088,8.018,0.070
