track_id,condition,D_fit,alpha_fit,r2_fit
80,WT,0.011640711826047275,0.33354163162261347,0.17611752489267407
174,WT,0.05123804640971466,0.9377403675920939,0.9035969922259063
187,WT,0.07982283255904332,0.7137665929982472,0.9842162273132711
235,WT,0.003388876124693232,0.31403973673500624,0.6821184946370518
251,WT,0.04563255541636821,0.5658295278185278,0.7339333142525604
272,WT,1.4449341523421932,1.223572747087272,0.9791145434005121
293,WT,0.13441405383364785,1.044076963931427,0.9795565762627785
303,WT,1.0412784652022848,1.4303409242721787,0.8606277108176213
326,WT,0.05033939246511952,0.974486108340135,0.9709908640907667
329,WT,0.004370646595531955,0.12116274195407833,0.14223413042945676
