track_id,condition,D_fit,alpha_fit,r2_fit
1,WT,0.036757546788348895,0.7996284989916391,0.9802186282676655
2,WT,0.9660006334155732,1.7532554061936187,0.9919596660827956
3,WT,0.04356566185357242,0.6480195164354665,0.808545843763079
5,WT,0.0011884585074268342,0.05719408956338622,0.18857756133589343
10,WT,0.00482714445420541,0.22452453829798308,0.8186719210227484
11,WT,0.011014597832038673,0.4399238358388426,0.4878692105123912
12,WT,0.052342503619669155,0.5726166875883616,0.9740029512315176
14,WT,0.07317254314782293,0.7285345533750797,0.9932935266700149
17,WT,0.00465737046601209,0.23474363224716535,0.3783150342060171
18,WT,0.022378794913747866,0.4783940794527213,0.7987997219340227
19,WT,0.02456125511977538,0.6642020259095635,0.9985252349715485
21,WT,0.0011584574413489146,2.1456365143866856e-14,-3.1530333899354446e-14
24,WT,0.24316601713049446,1.2488934644740979,0.9879550615667946
26,WT,0.28917441669244937,0.9907169335089968,0.9699254833925095
27,WT,0.024213835170026413,0.620563504577486,0.9575705794966137
30,WT,0.039855655124732145,0.7641873764487377,0.9359250787032889
31,WT,0.12290246632646962,1.0408434095865917,0.9994845183304346
33,WT,0.06955231427611437,0.8562227015164983,0.9919891978059676
36,WT,0.011092313385865405,0.2079433910045852,0.35470609038060363
40,WT,0.005434226181380402,0.13456850356840705,0.12581673882957045
42,WT,0.061385736555746695,0.9530562058417554,0.9730253089818209
48,WT,0.0043282585516032455,0.35179607549113673,0.977255828330468
50,WT,0.04764698770507868,0.9013941185680103,0.9920822217526528
57,WT,0.09154881154398554,0.7108298688833847,0.819019078169713
59,WT,0.03664646093378796,0.6838572050506035,0.8455306778143692
60,WT,0.04816186005020192,0.836733826057214,0.959703963516095
62,WT,0.4468176172531417,1.2649888552273771,0.9958649468301137
85,WT,0.1306216658620084,1.1554515311929494,0.9884894367474503
86,WT,0.013316656989403325,0.08387670963055079,0.06179138586706201
91,WT,0.004347811499874754,0.3258285817946022,0.9497275530143506
93,WT,3.5685147347938257,2.54086467127836,0.7215938129306354
105,WT,0.030010792311553083,0.4319347234175191,0.9560085851025393
107,WT,0.035638174033165965,0.7720807009702586,0.8990862777089202
158,WT,0.021255626989916034,0.5703825998344434,0.9732752447834013
163,WT,0.0057703428725110065,0.40435947186086263,0.2985387240169711
165,WT,0.0029425712832221,0.04196469612657916,0.019443646383110802
171,WT,0.0040478867094691446,0.34264572525133885,0.48713919842940956
176,WT,0.002114918675417075,0.06904033378622104,0.036081206204869654
182,WT,0.006070334459667875,0.28779384358588384,0.7603571051780735
190,WT,0.0324960867826323,0.5668446000395139,0.9117654392255077
191,WT,0.0359767973062721,0.6895720760042278,0.8876801152759523
196,WT,0.006993362374884878,0.49262818391751395,0.3394656538068682
207,WT,0.08566600988011384,0.834043257499509,0.9757735816051576
225,WT,1.2612923973339227,1.3416025947927255,0.9319715311593695
248,WT,0.018693215101816266,0.500359319724601,0.816349223450215
250,WT,0.030503370744422362,0.5614128004197265,0.8602064600655283
320,WT,0.42676844856341223,1.3426601104770493,0.9837007618403066
332,WT,1.0182115978701365,1.2055510056717507,0.9937247157875344
346,WT,0.045838538504936945,0.6852243225650086,0.7683999537846374
352,WT,0.007204503209365809,0.3353324837503785,0.9026071985764249
367,WT,0.022051360762909714,0.36731277054256334,0.4032912967683946
373,WT,0.00411931829385276,0.23616778172168704,0.8936962199860895
388,WT,0.0047953267192118315,0.28847367804208746,0.47595486086847405
395,WT,0.06710530434129813,0.43757304513574924,0.6895234937043215
413,WT,0.018040359039727283,0.5511888466869698,0.9213835813644613
417,WT,0.007214723094619014,0.22077134395701134,0.17498776899820911
421,WT,0.05825446166125342,0.7230107316330384,0.9824954934800854
426,WT,0.0040569033904014765,0.020974714470350004,0.0018508494623846738
436,WT,0.2086519336993213,1.115770903664027,0.9788820507666558
445,WT,0.0032462029256677865,0.13619786824451574,0.19308054928391405
446,WT,0.9119169832949673,0.8763468751219824,0.9543183528378778
486,WT,0.033321357575751116,0.5217815388816218,0.8420515155689683
496,WT,0.009648502249240387,0.33247248246502975,0.8833164599481281
500,WT,0.21262513031189478,1.0153049101510427,0.9913974989163723
507,WT,0.012763507417578689,0.4927359294308673,0.5808872553851505
520,WT,0.018772784088722443,0.32450498931163585,0.5582778940196935
523,WT,0.03640638196383319,0.9973436218749578,0.961714114596113
531,WT,0.0009466926967908267,0.08673513197973731,0.0982334750983217
535,WT,1.3097578533640106,1.5330314491610066,0.9794648089589167
538,WT,0.5165727888564362,1.4526210558828012,0.9809337544486234
543,WT,0.004217408534264281,0.1981615653360269,0.5498117275034108
552,WT,0.012332807996975092,0.2476662418206068,0.16836026333433207
565,WT,0.005649015677266926,2.3901241335230015e-14,-2.6645352591003757e-15
579,WT,0.02162079346187114,0.5047436883072981,0.870657045673237
582,WT,0.017870263240724608,0.5435428210793957,0.976507975240804
591,WT,0.03776314080892697,0.9213769501035629,0.897641555793585
598,WT,0.11528860283832393,0.9285335001415534,0.995230686717006
601,WT,0.11137022870081341,1.150954086738468,0.703923463240423
609,WT,0.004645450465576966,0.04489899151429891,0.017581939620475384
611,WT,0.003340285648733198,0.21761338830546842,0.3811357353098056
613,WT,0.22011120828169384,1.1335866814581412,0.995390250577457
626,WT,0.00836962494486003,0.3915262615258726,0.6668713999302103
627,WT,0.0011880763378332405,1.739490589915061e-15,-6.439293542825908e-15
631,WT,0.012602970369325525,0.4583723139260473,0.8912494139657208
641,WT,0.20115513488749828,1.1481632197695006,0.9739877551238003
