track_id,condition,D_fit,alpha_fit,r2_fit
4,WT,0.012513894042222617,0.5423143768246699,0.9767138273026473
7,WT,0.005255113520890026,0.34464084120725536,0.8701603783521377
8,WT,0.03563629816001991,0.7755804722564537,0.9954179140008774
10,WT,0.005110062539625725,0.3113261812072077,0.9722623259752491
18,WT,0.15882378157580607,1.0839729491940069,0.9929344246730902
21,WT,0.00717033734385533,0.19221438762558288,0.27922958965835276
23,WT,0.0037514665321211715,0.2171929743943243,0.51070813689299
26,WT,0.0019426214755258174,0.11299612535654203,0.20179530212185925
28,WT,0.0797843996456477,0.872876610080639,0.997796618748548
29,WT,0.3525202425307357,1.4067470501899293,0.9874426539539265
32,WT,0.003863562135190782,0.376315950903137,0.8128519935462866
33,WT,0.005579852165355333,0.2658155083125959,0.8326535091925172
38,WT,0.0013795592920016573,0.009760450835380416,0.0017612149140542321
43,WT,0.01441364921099407,0.6227341754512615,0.5326191143298383
50,WT,0.03262945582038994,0.4512840865994492,0.9508916351403682
65,WT,0.0032884124651596535,0.2191855637714291,0.21461024080617785
74,WT,0.004239268418797005,0.13370316371031823,0.42454796664060246
86,WT,0.1866284028822155,1.3429461699334555,0.9875444285244811
87,WT,0.029999897890444757,0.5376441382128913,0.9073029706505666
97,WT,0.2790703300938315,1.5027157058891552,0.9820537469658219
100,WT,0.0034952345474823913,0.43355360019809364,0.8118756790452117
138,WT,0.010702385780987004,0.45042654585873415,0.7548760362367775
140,WT,0.05042615366761767,0.8465624177902928,0.9485543866535895
156,WT,0.04093547691054231,0.9576797470725215,0.8390891620201325
184,WT,0.03413055596824927,0.8006309281957987,0.9957522301620109
187,WT,0.008039191371432086,0.1384019709604619,0.13801165291852546
206,WT,0.017625185255465844,0.5432616584859922,0.8332365526301917
208,WT,0.020084883207289787,0.33380419093672586,0.8740141570914965
218,WT,0.32133025455156483,1.2239939335113361,0.9991107606910862
231,WT,1.286395506832296,1.9294721860153836,0.9193687957950749
234,WT,0.013889244500590965,0.41539568970095125,0.48295297376051927
238,WT,0.002132375572327683,0.0728499547165703,0.19617589965425708
244,WT,0.04622238908748721,0.8091094866328556,0.9061138569685825
252,WT,0.010772630836569657,0.28861670085231833,0.5778292352885379
283,WT,0.008614386942747423,0.34149974064256045,0.8061890424370519
292,WT,0.006803332614449433,0.14044087087598464,0.31897277064618057
294,WT,0.004050848343298471,0.2048066610027722,0.7468377509666766
302,WT,0.004482250982801732,0.3763662095564082,0.23836469183028364
315,WT,0.00878737343126003,0.3935098051093586,0.9306001709256522
316,WT,0.15190975971603926,0.8013380422400853,0.8610984877445566
320,WT,0.15879670032906001,1.1807862654367731,0.9702535520870587
325,WT,0.010408814173536222,0.5138473602536423,0.8633969141548404
344,WT,0.033651448883553904,0.7420382941760383,0.9653899974679232
352,WT,0.005916754885438847,0.009158448942465588,0.0031131799724758435
355,WT,0.002612838176725601,0.24524473319617227,0.46865954606014626
377,WT,0.1627345426183094,1.092211625812489,0.8006342016284387
382,WT,0.226107447052821,1.066791558339688,0.9549388599381401
389,WT,0.004531660042229194,0.28427950655678846,0.35590101900528415
399,WT,0.019090050464615576,0.49393318341205955,0.6847599597267338
400,WT,0.010825993518586253,0.13663543355210742,0.2948079855294603
435,WT,0.012754325425955825,0.37331621902217804,0.45786599353700663
462,WT,0.39695092732232634,1.6998296875441234,0.9558498343035164
466,WT,0.013832705689383872,0.48808347646455597,0.9257188946946129
479,WT,0.005897013929118555,0.4240412876558111,0.8636870805890586
489,WT,0.003954727188698347,0.24652661802818204,0.8286729045235601
503,WT,0.004817497911908936,0.2655838387860642,0.5172445981545053
520,WT,0.0030326990809248612,0.23998358325491068,0.46092668968584105
531,WT,0.059532426480566406,0.9554661055531809,0.9395116717057812
534,WT,0.045083294994647444,0.7028292071006509,0.9766187724971135
542,WT,0.0013049867152992109,0.013698402585170103,0.001208804255852347
545,WT,0.03523296065765896,0.8596507651013303,0.9555236751165326
547,WT,0.008325901455576885,0.23109467596348368,0.29966342864946316
563,WT,0.0014120882885888806,0.010194907798585949,0.0004999227965721831
564,WT,0.10917545672315292,1.1717586456091595,0.9847674222141871
572,WT,0.12891777479080688,0.9683913011896875,0.9721357213082894
577,WT,0.2694878655058128,1.0142487509410651,0.9653960304421267
594,WT,0.1542938769190107,1.1318209413597367,0.997020641176084
613,WT,0.0031101866861464275,0.1879751549072271,0.8661704467034285
618,WT,37.79860955553916,3.439846702105717,0.7334127821653171
632,WT,0.000720360034457128,0.06651397499114753,0.09482483530464736
633,WT,0.050856268900038325,0.47997096366762915,0.9453189432554874
645,WT,0.20287480141203942,1.0689786722017927,0.9979484079155739
656,WT,0.0024633308925521447,0.15066748819263198,0.23866667840160338
658,WT,0.00881236236416799,0.5160881557505658,0.9461133983494928
665,WT,0.0057345313165224785,0.42189794673004766,0.9168256526269826
667,WT,0.0012240430236875994,3.4248126793212365e-15,-3.774758283725532e-15
673,WT,0.02493713936136825,0.8316002592583202,0.9765247336293827
680,WT,0.012236786007502361,0.5052493213659385,0.9591254028873692
688,WT,0.04789244157304077,1.008496004097056,0.7628103564958948
705,WT,0.0012684865577307373,1.9389049527343186e-11,-1.2414291816753575e-11
721,WT,0.00404311022454357,0.3157094619933694,0.37683211924840465
759,WT,0.00684542537944634,0.34639082315882536,0.8824052475276657
766,WT,0.0012563460367334418,4.6650578853714757e-11,-6.674438779441516e-12
786,WT,0.0011892314104982502,0.04293754228118005,0.09046271201709799
795,WT,0.011446415309478115,0.2987784793689507,0.720597110766215
796,WT,0.006344678413141864,0.4256627512208877,0.8866453800552436
799,WT,0.007121809205331292,0.2887653791060807,0.6694897422363155
824,WT,0.001137919272056006,3.896675532405508e-11,-1.3108847340959073e-10
825,WT,0.004182847944135376,0.33225421958678125,0.6913377084360812
828,WT,0.0056444958553724224,0.49510059124008426,0.9153262781936246
830,WT,0.007902057547768283,0.22094194256612823,0.23577279972167586
836,WT,0.006392430756310814,0.418886354627203,0.9746249658889002
853,WT,0.00674055896314804,0.2548784492376088,0.4664707010971698
854,WT,0.14313824262528863,1.1449025504440526,0.8834298391359037
891,WT,0.07253684865499309,0.8774083380077438,0.9280658175637377
896,WT,0.10712261138126222,0.8095283737306005,0.3743648519808781
912,WT,0.003816774978940584,0.0941511441526173,0.2951947215788133
917,WT,0.009621890346333421,0.4930459388203086,0.9308700829014951
919,WT,0.009440908336969306,0.4592399383607032,0.9804699379406071
926,WT,0.005525140402387662,0.4452079141044497,0.9120429138064782
945,WT,0.004035853407217829,0.20214818992750133,0.8705190725704044
946,WT,0.006926997229468924,0.28878236563111614,0.18994265735214833
978,WT,0.009790476143908369,0.31961876083284874,0.1704033493712801
979,WT,0.002442174184995234,0.04547043296845265,0.0063429457738978234
983,WT,0.003465628034801165,0.062481078834648866,0.12787656983477558
988,WT,0.028595088087836465,0.5628887837142296,0.9946745135753885
994,WT,0.012444167701978856,2.541570390745271e-13,-3.3217872896784684e-13
1009,WT,0.017307509263670997,0.3327034614182682,0.6394509866381846
1022,WT,0.04516274296197791,0.732668242376307,0.9985536467570539
1034,WT,0.0017597331846491216,0.09705149382917942,0.04335528449504911
1040,WT,0.001272702503510765,2.351490627792362e-13,-3.750333377183779e-13
1047,WT,0.007236438193729018,0.4771747413585653,0.8983800274392375
1058,WT,1.5120533259001325,1.6557090118505915,0.9946488791602927
1059,WT,0.009761775839918664,0.13638707331639333,0.45719997168063675
1062,WT,0.005796495463124027,0.12156578750502252,0.047688120221313746
1084,WT,0.03338436132071236,0.5936434341568608,0.8900654685026647
1094,WT,0.052475503773901394,0.7201891975273729,0.9828107046601472
1108,WT,23.151620233971872,2.8030354288506185,0.8951423218099068
1115,WT,0.15226466577618689,0.5236753312807408,0.5022495598732631
1121,WT,0.02500758892262175,0.7197094460680296,0.995609382159415
1147,WT,0.0031477604789409363,0.16052872604284424,0.34971768445690266
1163,WT,0.00474453681388489,0.3659804715965348,0.7685532192156588
1165,WT,0.0214947612576906,0.5736069613007084,0.9664443790573731
1189,WT,0.0009754754818913256,0.05045231780122591,0.02062842753269145
1193,WT,0.00177352855940883,0.08136766377318826,0.039856964777519543
1226,WT,0.030715329578268398,0.7144683415381451,0.9323315114169668
1246,WT,0.01243676840351843,0.4964455625637067,0.45379110847550164
1248,WT,0.0012165277691116242,0.018840643598576796,0.0016933873155366985
1252,WT,0.07471735097202792,0.6404363826654419,0.91145817175738
1254,WT,0.010207199560124242,0.6067572381629207,0.9919063346829057
1255,WT,0.04105956076770638,0.9075982361713906,0.9589423053021607
1266,WT,0.004505898299485834,0.1431683828977983,0.21583425192531214
1280,WT,0.0017367100816949796,0.1373597278716954,0.11244801842425911
1282,WT,0.01899904454695862,0.6059446058005693,0.8917729914110427
1296,WT,0.039711383099237836,0.7393076239327072,0.9596131522411455
1313,WT,0.0025713326874080107,0.16773601662862878,0.0595711194368731
1317,WT,0.0008459923097517769,1.3202752522128012e-09,-5.251308277109956e-10
1329,WT,0.01312921996645427,0.26311182068235,0.8557206419991656
1335,WT,0.001244383339757053,2.7287167749197116e-12,-9.15489906105904e-13
1344,WT,0.02902551731501401,0.7568514204689747,0.6910581923310701
1354,WT,0.01303990675478823,0.4380986829344026,0.8586514531960913
1383,WT,0.0011705635882668323,0.02167877609876309,0.006692014869364105
1385,WT,0.025617656547816683,0.6432920167221595,0.9084908646093767
1406,WT,0.0010876638411308859,3.83528785308598e-16,-8.881784197001252e-16
1418,WT,0.0396213393820138,0.7367436251741442,0.9932537239052467
1421,WT,0.021356852746304708,0.7391602600131125,0.9868804308320988
1424,WT,0.03524048532658848,0.7511242113495529,0.9786420578870029
1447,WT,0.003622091816425256,0.1856156367899043,0.24162996748629928
1454,WT,0.002538039678894115,0.026325644862733526,0.0024443055657976664
1493,WT,0.03075849421954434,0.8054299870075842,0.9746052660670349
1517,WT,0.005380894918785414,0.3635242609848879,0.7736771208323318
1562,WT,0.044640605779592904,0.6426454333407372,0.8810080724791797
1565,WT,0.04865257410976913,0.7943732385481269,0.9591902742620082
1583,WT,0.07713677164683379,0.7789809401563043,0.7693426966294157
1596,WT,0.052457548474896254,0.7341971642607482,0.9919930307048139
1601,WT,0.012593115213443036,0.18617289543016802,0.31214491543093825
1604,WT,0.001423180842838354,0.01797326402996229,0.0026512342774849262
1629,WT,0.0032388720349641503,0.3449333045335209,0.44856959460886603
1653,WT,0.00987105901520906,0.29209303944601733,0.5835346258798922
1662,WT,0.028655025945429402,1.1256531507736163,0.4974959739123582
1665,WT,0.03825212115588128,0.8067753161218933,0.9930234648742715
1702,WT,0.043282888023020785,0.7130374322417138,0.9938424528625347
1710,WT,0.006989464553565764,0.249660926058426,0.3702151819574613
1715,WT,0.033236927803420274,0.5379556291125005,0.7665075139954696
1721,WT,0.42586060131614284,1.0141136765670613,0.8141851723577667
1730,WT,0.038188489744335044,0.6018393961742045,0.7628889355917053
1739,WT,0.013212365617887195,0.6055321866082545,0.9945578867551139
1747,WT,0.001203213879846987,7.521860031242203e-12,-2.3059998355279276e-11
1749,WT,0.0024268215566920705,0.11164162396665114,0.0460773864055114
1753,WT,0.11334752507833196,1.2030594277179367,0.6966526532482928
1772,WT,0.8416240526220389,1.1822230195584253,0.5023346468485062
1774,WT,0.03620615604415022,0.7314062119232755,0.8547071282984597
1779,WT,0.013004542624407138,0.5176721878178705,0.9194291271024257
1810,WT,0.2564662010880731,1.4619855410431348,0.7859904524232721
1816,WT,0.01836628284074497,0.5031298987255354,0.8155584756257197
1821,WT,0.09868492946626936,0.9025924850575701,0.9069392036369852
1834,WT,0.0048879217222606705,0.05685331646928289,0.0155665735426328
1841,WT,0.045502809074989714,0.7426434197918529,0.990963821460515
1854,WT,0.016809992159339378,0.6718142991828259,0.9675421715626114
1886,WT,0.008466783176335091,0.3239182364017239,0.5843451291558692
1900,WT,0.005067595458802554,0.24092277241494506,0.7119526927630988
1903,WT,0.01122967437432421,0.2892330377104464,0.4834010796927508
1956,WT,0.0028620548640324716,0.09561966096155003,0.05360566030549929
1963,WT,0.0026490645786337408,0.01720056237106846,0.004007515353901869
1978,WT,0.5155766877724675,1.4285121697442313,0.9737630035198518
1988,WT,0.0026170486228947343,0.03822278163997885,0.02184508032285637
1993,WT,0.002943401451921952,0.06232000071348915,0.03363523280116909
2000,WT,0.0012934736852573425,0.1416798386927182,0.0961292157233562
2003,WT,0.11938885275681659,0.6305986906627026,0.9443429429146032
2024,WT,0.0023527986809818717,0.08646124133246984,0.08304570335026218
2026,WT,0.025230035065062,0.7633878798367182,0.9379262302320961
2036,WT,0.0010718609228666004,1.0236611278994712e-09,-1.019133666346761e-10
2039,WT,0.0012164115817344544,5.0938071085776004e-12,-5.493383525845275e-13
2053,WT,0.04582008121049465,0.5657852169286315,0.5910692553382906
2064,WT,0.001084792064621381,0.009307993675730607,0.00015417630713776553
2068,WT,0.0052305402861175364,0.14233530280827042,0.05439102547953767
2069,WT,1.468918815688744,1.064409477088919,0.974816568876405
2088,WT,0.014965100467350792,0.6163265554897112,0.8674425798415101
2099,WT,0.00574331321732276,0.4446326833693939,0.49507864660682677
2102,WT,0.006381593986096306,0.0278033045176803,0.0037361201110507336
2119,WT,0.0037158469359184123,0.22049185890425593,0.7001277856112175
2138,WT,0.0020992944563987563,0.22001212795739453,0.4497002614732567
