track_id,condition,D_fit,alpha_fit,r2_fit
1,WT_158_Dox,0.011369073429963452,0.5351688396290479,0.8165392104950797
3,WT_158_Dox,0.04353551723426926,0.7788573338668956,0.9957231663141669
10,WT_158_Dox,0.23104679662003041,1.05382076077092,0.9237745398791468
12,WT_158_Dox,0.0061282694905177475,0.14746845989463134,0.14533421907124133
14,WT_158_Dox,0.005802581941992313,0.40248763723408826,0.6424692941544881
16,WT_158_Dox,0.18673862465932,1.0563812837823108,0.9912819110757178
18,WT_158_Dox,0.0025378157831369118,1.5688491835541975e-13,-5.135891711915974e-13
20,WT_158_Dox,0.0648998777807034,0.34504220374322064,0.13954165339624358
22,WT_158_Dox,0.06088458742917453,0.4856322606947731,0.7392791495827664
24,WT_158_Dox,0.05903956301536255,0.7472240112608539,0.9963520662472211
26,WT_158_Dox,0.16559614162266081,1.071735453266416,0.9956551180726283
28,WT_158_Dox,0.010329600966999058,0.3920124292824529,0.8067451439140887
39,WT_158_Dox,0.019733519342833832,0.7728430175497046,0.777682169417343
40,WT_158_Dox,0.004355334967260585,0.0449089877388628,0.020115596124064883
43,WT_158_Dox,0.04760695148481037,0.7646685545476791,0.996934056578066
50,WT_158_Dox,0.14434585772469496,1.2617782668667583,0.9240841472590362
52,WT_158_Dox,0.009148478776936707,0.28962106354732875,0.5232931415274568
66,WT_158_Dox,0.09382028053392602,0.6823945269981684,0.9676077408704495
78,WT_158_Dox,0.07741291355162698,0.8031180155470631,0.9862655413155107
96,WT_158_Dox,0.018976497769141596,0.4710486357276093,0.9297136485877732
145,WT_158_Dox,0.08853991611330565,0.8399432427109074,0.9975856360129951
173,WT_158_Dox,0.023465279336608916,0.5732138697155739,0.8234734897590658
183,WT_158_Dox,0.026692196381631034,0.543552042825413,0.9605380898400125
184,WT_158_Dox,0.23073098168664366,1.1215452423492784,0.9809456255916718
195,WT_158_Dox,0.004767410432286076,0.28249998920505154,0.5878237618126307
206,WT_158_Dox,0.03762693046383923,0.775045850787173,0.8861478331046896
234,WT_158_Dox,0.001899250007714257,1.12586341918512e-15,-2.4424906541753444e-15
254,WT_158_Dox,0.02228893399023206,0.20029159241542988,0.1555122623609727
304,WT_158_Dox,0.12502501200415803,0.6515669800941373,0.9964863733225194
322,WT_158_Dox,0.03081826731421511,0.7517136742394998,0.7331993439752191
324,WT_158_Dox,0.0638192076480408,0.871827369157094,0.9843719695631384
339,WT_158_Dox,0.0028816361784690997,0.09982733296727773,0.06400752462540205
356,WT_158_Dox,0.015341334280876896,0.5608188746208556,0.41407297226454487
377,WT_158_Dox,1.3233890849205856,1.3780412722229602,0.9986228141022592
399,WT_158_Dox,0.021834807506625663,0.22172102496586904,0.42154461657531084
407,WT_158_Dox,0.23022898543353004,1.1552264163152204,0.8167925512102124
410,WT_158_Dox,0.048123081618377826,0.5863244384664184,0.7939257727020644
413,WT_158_Dox,0.006434639430342917,0.35405049014803186,0.4830472099355374
415,WT_158_Dox,0.2528244794849587,1.3830797367518066,0.9576482377671458
420,WT_158_Dox,0.0038258059864149617,0.1649783277416048,0.2265819131611876
438,WT_158_Dox,0.030624864254667677,0.3330754325157687,0.5382216512618168
487,WT_158_Dox,0.042913250606014565,0.5851089548924501,0.7378353161219577
498,WT_158_Dox,0.011365408803926575,0.39900917289378934,0.9191283623869436
502,WT_158_Dox,0.016136399335656082,1.5994876255032719e-15,-1.3322676295501878e-15
508,WT_158_Dox,0.004217372526451712,0.19966325700757406,0.365263699654512
552,WT_158_Dox,0.6041499838809256,1.107828125106721,0.9897606794489777
627,WT_158_Dox,0.040238861547894744,0.8205140714487326,0.9278895671602994
643,WT_158_Dox,0.27857553338272,1.227298526036913,0.9799746231730159
